               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.069907,            0.020146,            0.024003,             0.69561,             0.42635,             0.26897,             0.12667,            0.023828,           0.0093612,            0.014471,             0.07039,             0.00329,             0.00329
                   1,            0.047643,            0.014562,            0.021549,             0.69701,             0.40562,              0.2799,             0.13489,            0.025003,           0.0051192,            0.014377,             0.04031,           0.0065439,           0.0065439
                   2,            0.040532,            0.011088,            0.021167,             0.15039,             0.71923,              0.3104,             0.15671,            0.023258,           0.0037753,            0.014119,            0.010151,           0.0097177,           0.0097177
                   3,            0.033884,            0.009258,            0.020553,             0.30078,             0.86882,             0.45493,             0.27943,            0.016746,           0.0036697,            0.013487,             0.00964,             0.00964,             0.00964
                   4,             0.02934,           0.0084761,            0.018289,             0.35011,             0.72425,             0.62947,             0.38108,            0.018049,           0.0034501,            0.011263,             0.00964,             0.00964,             0.00964
                   5,            0.028304,           0.0082161,            0.013607,             0.95859,             0.68625,             0.84286,             0.50952,            0.016963,           0.0033963,            0.005009,             0.00952,             0.00952,             0.00952
                   6,            0.027015,           0.0080249,            0.010895,             0.70498,             0.83257,             0.83299,             0.51462,            0.019283,           0.0034115,           0.0044475,              0.0094,              0.0094,              0.0094
                   7,            0.025747,           0.0078537,            0.010104,             0.88547,             0.78245,             0.89263,             0.55079,             0.01656,           0.0033211,            0.004308,             0.00928,             0.00928,             0.00928
                   8,            0.025517,           0.0076706,           0.0090662,             0.95591,             0.89357,             0.97987,             0.66989,            0.014167,           0.0032666,           0.0023151,             0.00916,             0.00916,             0.00916
                   9,            0.024667,           0.0075266,           0.0084667,             0.93114,             0.91468,             0.96431,             0.59338,            0.015402,           0.0032623,           0.0022628,             0.00904,             0.00904,             0.00904
